Sleep,Study,Labels
4.855064242,9.639961566,1
8.625439759,0.05892653,0
3.828191538,0.723199234,0
7.150954837,3.899420416,1
6.477900441,8.198180548,1
1.922269501,1.331427265,0
8.978215889,0.993437511,1
6.635603076,8.542802678,1
7.672358952,5.416399795,1
4.866015334,2.042671293,0
6.861404967,9.655309715,1
8.540421324,2.590374229,1
3.717880654,5.381662115,0
9.181297123,0.171474647,1
9.560140022,0.024946486,0
5.971369473,4.188301871,1
9.438202693,1.94381244,1
4.35755102,9.887983315,1
4.540331964,6.713873358,1
1.54910163,9.375132164,0
8.081973712,9.842206812,1
9.620465003,2.099327538,1
8.834770978,3.152204123,1
1.753448537,4.219242604,0
1.043212838,2.609765115,0
1.196383182,7.475744858,0
8.91006988,8.232927942,1
4.529618742,4.905511541,1
1.859112415,5.691867559,0
9.55717884,1.644671913,1
7.154701226,8.014790197,1
2.343618525,2.95870685,0
2.92268449,8.217594917,1
6.333096232,7.240304984,1
0.925628175,3.421267108,0
7.874390567,7.791093355,1
8.347751047,1.860812507,1
5.581061132,2.496129293,0
5.091029094,9.873134089,1
4.53017137,3.761759,0
1.423777989,0.228597927,0
9.095960129,1.067917049,1
4.006615919,9.792127856,1
8.976567434,3.935159771,1
0.098052877,7.214512541,0
0.452388674,2.774694245,0
3.863046267,3.91320229,0
7.863850174,7.726383368,1
8.922706409,7.754216711,1
7.464367878,9.945176207,1
1.341929291,2.342878045,0
5.940969596,4.620631626,1
0.904077659,9.420928783,0
7.750530057,9.057171885,1
9.517925293,1.301185903,0
7.743786713,1.154421689,0
7.691923059,8.29822782,1
7.09227303,2.357456908,0
6.944439081,6.484703892,1
0.045024725,3.34600593,0
1.545969131,7.567700087,1
5.272383168,9.149615373,1
0.860407078,8.988188137,0
7.253438933,1.762510622,1
7.517308979,2.248929287,0
9.081627186,1.4373504,1
0.455678185,4.722297476,0
6.949705416,1.411293363,0
9.282142515,8.529330543,1
7.180812694,3.610763419,1
1.132488386,3.264911813,0
7.746528452,3.643019246,1
7.065360448,1.121328133,0
6.505817492,0.863102227,0
5.700529111,7.083544233,1
6.660466688,2.25395578,0
1.091472018,7.084376975,0
4.903087616,6.025477778,0
3.443109342,7.066346859,0
8.182978062,0.974986563,1
9.000376477,9.549327861,1
9.683104139,9.507049732,1
2.991911476,5.29921046,0
2.238183478,4.534843704,0
